Creek,Position,Species,yDistance,xDistance,Height,Diameter,Mature,Height.Diameter
a,Pointbar,SM,0,0,56,2.73,0,20.51282051
a,Pointbar,SM,0,0,53.5,2.73,0,19.5970696
a,Pointbar,SM,0,0,50,2.29,0,21.83406114
a,Pointbar,SM,0,0,47,1.99,0,23.61809045
a,Pointbar,SM,0,0,45,2.75,0,16.36363636
a,Pointbar,SM,0,0,44,1.65,0,26.66666667
a,Pointbar,SM,0,0,40,2.21,0,18.09954751
a,Pointbar,SM,0,0,39,2.51,0,15.53784861
a,Pointbar,SM,0,0,38,1.95,0,19.48717949
a,Pointbar,SM,0,0,37,2.13,0,17.37089202
a,Pointbar,SM,0,0,35,1.99,0,17.5879397
a,Pointbar,SM,0,0,29,3.54,0,8.192090395
a,Pointbar,SM,0,0,27,2.78,0,9.712230216
a,Pointbar,SM,0,0,24,2.71,0,8.856088561
a,Pointbar,SM,0,0,24,2.39,0,10.041841
a,Pointbar,SM,0,0,21.5,1.64,0,13.1097561
a,Pointbar,SM,0,0,21,2.23,0,9.417040359
a,Pointbar,SM,0,0,20,2.84,0,7.042253521
a,Pointbar,SM,0,0,16.5,1.69,0,9.763313609
a,Pointbar,ST,0,0,54,3.65,1,14.79452055
a,Pointbar,ST,0,0,37,3.16,1,11.70886076
a,Pointbar,ST,0,0,53,2.39,1,22.17573222
a,Pointbar,ST,0,0,40,2.27,0,17.62114537
a,Pointbar,ST,0,0,47,2.16,1,21.75925926
a,Pointbar,ST,0,0,52,2.13,0,24.41314554
a,Pointbar,ST,0,0,54,2.12,0,25.47169811
a,Pointbar,ST,0,0,44,2.08,1,21.15384615
a,Pointbar,ST,0,0,35.5,2.08,0,17.06730769
a,Pointbar,ST,0,0,23,2.06,0,11.16504854
a,Pointbar,ST,0,0,53.5,2.06,1,25.97087379
a,Pointbar,ST,0,0,52,1.85,1,28.10810811
a,Pointbar,ST,0,0,38,1.83,0,20.76502732
a,Pointbar,ST,0,0,24,1.82,0,13.18681319
a,Pointbar,ST,0,0,41,1.78,0,23.03370787
a,Pointbar,ST,0,0,24,1.73,0,13.87283237
a,Pointbar,ST,0,0,23,1.72,0,13.37209302
a,Pointbar,ST,0,0,19,1.72,0,11.04651163
a,Pointbar,ST,0,0,36,1.65,0,21.81818182
a,Pointbar,ST,0,0,20,1.63,0,12.26993865
a,Pointbar,ST,0,0,17,1.61,0,10.55900621
a,Pointbar,ST,0,0,22.5,1.6,0,14.0625
a,Pointbar,ST,0,0,40,1.57,1,25.47770701
a,Pointbar,ST,0,0,21,1.57,0,13.37579618
a,Pointbar,ST,0,0,21,1.55,0,13.5483871
a,Pointbar,ST,0,0,38,1.5,0,25.33333333
a,Pointbar,ST,0,0,20,1.49,0,13.42281879
a,Pointbar,ST,0,0,19,1.49,0,12.75167785
a,Pointbar,ST,0,0,25.5,1.48,0,17.22972973
a,Pointbar,ST,0,0,12,1.36,0,8.823529412
a,Pointbar,ST,0,5,71,3.09,0,22.97734628
a,Pointbar,ST,0,5,67,2.95,1,22.71186441
a,Pointbar,ST,0,5,47,2.94,0,15.98639456
a,Pointbar,ST,0,5,78.5,2.82,1,27.83687943
a,Pointbar,ST,0,5,40,2.56,0,15.625
a,Pointbar,ST,0,5,40,2.54,0,15.7480315
a,Pointbar,ST,0,5,61,2.4,1,25.41666667
a,Pointbar,ST,0,5,75,2.39,1,31.38075314
a,Pointbar,ST,0,5,51,2.36,0,21.61016949
a,Pointbar,ST,0,5,60,2.36,1,25.42372881
a,Pointbar,ST,0,5,33,2.35,0,14.04255319
a,Pointbar,ST,0,5,51,2.27,0,22.46696035
a,Pointbar,ST,0,5,37,2.25,0,16.44444444
a,Pointbar,ST,0,5,37,2.21,1,16.74208145
a,Pointbar,ST,0,5,36,2.09,0,17.22488038
a,Pointbar,ST,0,5,39,2.05,0,19.02439024
a,Pointbar,ST,0,5,43,2.04,0,21.07843137
a,Pointbar,ST,0,5,52,2.02,0,25.74257426
a,Pointbar,ST,0,5,42,2.02,0,20.79207921
a,Pointbar,ST,0,5,37,1.94,0,19.07216495
a,Pointbar,ST,0,5,43,1.93,0,22.27979275
a,Pointbar,ST,0,5,51,1.92,0,26.5625
a,Pointbar,ST,0,5,27,1.89,0,14.28571429
a,Pointbar,ST,0,5,55,1.84,1,29.89130435
a,Pointbar,ST,0,5,35.5,1.8,1,19.72222222
a,Pointbar,ST,0,5,31,1.76,0,17.61363636
a,Pointbar,ST,0,5,52,1.74,1,29.88505747
a,Pointbar,ST,0,5,38,1.68,0,22.61904762
a,Pointbar,ST,0,5,36,1.64,0,21.95121951
a,Pointbar,ST,0,5,24,1.62,0,14.81481481
a,Pointbar,ST,0,5,8,1.62,0,4.938271605
a,Pointbar,ST,0,5,11,1.57,0,7.006369427
a,Pointbar,ST,0,5,10,1.49,0,6.711409396
