Num,Dis2Edge,Dis2creek,Ele,DryWeight(g),WaterWeight(g),SoilMositure(%),WaterPerVolume(g/ml),SuspendWeight.(g/100ml)0611,SuspendWeight.(g/100ml)0612,SuspendWeight.(g/100ml)0613,NetSediment(g)0611,NetSediment(g)0612,NetSediment(g)0613,LoadWeight(g)0611,TubeType,LoadWeight(g)0613,TubeType.1,CS,CD,IC,P,SM,ST,CS_Alle,CD_Alle,IC_Alle,P_Alle,SM_Alle,ST_Alle,Transect,Creek_level
1-1-01,0,0,2.409,95.2251,38.4715,0.404005877,0.010501433,,0.9157,0.2563,,,,162.69,G,,,,,,,,,,,,,,,1,1
1-1-02,2.67,24.73,2.412,99.9683,35.9418,0.359531972,0.010003171,,1.4158,0.8728,,,,587.91,W,280.53,W,,,,,,,,,,,,,1,1
1-1-03,1.51,49.04,2.381,103.856,35.846,0.345150978,0.009628717,,,0.8785,,,,683.14,W,,,,,,,,,,,,,,,1,1
1-2-01,123.82,0,2.751,94.7315,42.3674,0.447236664,0.010556151,0.158,0.1049,0.1654,8.99,35.42,13.17,47.54,G,31.46,W,,38,,,,1200,,0.51088707,,,,0.140809293,2,1
1-2-02,126.52,22.45,2.92,109.8608,41.4719,0.377494975,0.009102428,0.1137,0.0486,0.0575,5.29,5.78,4.54,11.79,W,,,50,75,,,,884,0.143795743,-0.364529131,,,,0.102968305,2,1
1-2-03,139.86,49.85,2.937,112.5679,38.0363,0.337896505,0.008883527,0.0129,0.0068,0.0396,3.82,3.46,0.24,10.13,G,6.95,W,50,117,,,,667,,0.430258233,,,,0.727563219,2,1
1-3-01,303.37,0,3.744,118.4529,41.4567,0.349984677,0.008442174,0.0129,0.0096,0.0261,2.17,4.25,1.48,5.91,G,2.56,W,1650,,,117,,,0.357558609,,,0.161518433,,,3,1
1-3-02,302.95,23.78,3.677,110.6282,43.83,0.396191929,0.009039287,0.0117,0.005,0.009,1.08,2.5,0.57,1.24,G,,,1400,25,,,,,0.196924385,,,0.16621184,,,3,1
1-3-03,303.68,43.88,3.734,93.0447,36.1644,0.3886777,0.010747522,0.0207,0.0077,0.0097,0.8,2.93,0.55,2.7,W,0.97,W,1767,,,113,,,0.774567587,,,0.325126455,,,3,1
1-4-01,468.48,0,3.463,98.9898,37.501,0.378837011,0.010102051,0.0291,0.011,0.0269,,9.25,2.6,6.84,W,1.84,W,1209,,,,,,0.423963128,,,,,,4,2
1-4-02,473.17,6.47,3.997,100.5882,40.2624,0.400269614,0.009941524,0,0,0,,0.47,0.13,2.56,W,,,175,,250,75,,,0.192845313,,0.133490316,0.192111936,,,4,2
1-4-03,479.5,12.3,3.975,79.8238,36.5775,0.458227997,0.012527592,0,0.0073,0,,0.57,0.38,0.31,W,,,,,250,67,,,,,0.128350642,0.204744672,,,4,2
1-5-01,451.24,0,3.637,104.9211,39.8116,0.37944322,0.497645,0.0229,0.0138,0.0214,,10.48,3.19,2.3,W,2.63,W,784,,75,67,,,0.110497382,,0.191515222,0.251851033,,,4,3
1-5-02,454.84,6,4.025,101.6416,40.9429,0.402816367,0.51178625,0,0.0108,0,,0.72,2.69,4.16,W,,,117,,292,100,,,-0.090352215,,0.122287728,0.250510739,,,4,3
1-5-03,463.43,16.31,4.009,95.7039,40.0867,0.418861718,0.50108375,0,0.0132,0,,0.54,0.16,9.57,W,,,184,,234,59,,,-0.566729193,,0.122461809,0.205035476,,,4,3
1-6-01,1008.49,0,3.467,104.2645,37.961,0.364083653,0.4745125,0.0297,0.0199,0.1135,,6.33,2.33,9.76,W,6.45,W,1517,,,50,,,-0.097236242,,,-0.497297825,,,7,3
1-6-02,1014.53,5.68,4.13,104.1379,39.231,0.376721635,0.4903875,0,0,0,,0.1,0.14,0.94,W,,,38,,192,300,,,,,0.154255827,0.149238376,,,7,3
1-6-03,1021.19,12.29,4.118,93.5977,39.7357,0.424537141,0.49669625,0,0,0,,0.19,0.18,3.09,W,,,38,,234,63,,,0.231966402,,0.214575191,0.182974641,,,7,3
2-1-01,0,0,2.21,94.5657,42.7729,0.452308818,0.53466125,1.065,0.0238,0.3208,,20.02,,682.32,G,35.58,W,,,,,,,,,,,,,1,1
2-1-02,-1.8,18.58,2.328,100.44,39.8336,0.396591,0.49792,,,0.4494,,,,622.03,G,,,,,,,,,,,,,,,1,1
2-1-03,-6.54,40.45,2.324,107.3976,40.0346,0.372769969,0.5004325,,0.2781,1.5448,,40.5,,,,571.82,W,,,,,,,,,,,,,1,1
2-2-01,112.8,0,2.806,97.7362,38.4615,0.393523587,0.48076875,0.1253,0.1028,0.0862,46.81,81.21,35.22,50.68,G,,,,,,,,1625,,,,,,0.144848931,2,1
2-2-02,114.5,20.85,2.828,103.5984,36.7749,0.354975559,0.45968625,0.0207,0.0115,0.0119,1.85,,6.09,149.24,G,11.64,W,,,,,1417,375,,,,,0.155816597,0.072364545,2,1
2-2-03,116.29,39.17,2.883,108.114,37.4194,0.346110587,0.4677425,,0.0142,0.0495,,5.47,3.57,28.61,G,,,,,,,1900,,,,,,0.11625472,,2,1
2-3-01,252.45,0,3.448,112.1133,37.2997,0.332696478,0.46624625,0.0236,0.0129,0.0138,5.16,6.63,1.71,1.75,W,,,1342,,,,,,0.663618599,,,,,,3,1
2-3-02,256.67,18.97,3.396,109.1333,38.7482,0.355053865,0.4843525,0.0365,0.0118,0.0238,2.98,3.1,1.81,3.61,W,9.5,W,1100,,,,,,0.194312777,,,,,,3,1
2-3-03,256.65,37.39,3.45,115.4924,39.2515,0.33986219,0.49064375,0.0195,0.0113,0.0116,2.47,2.63,1.28,5.17,W,,,725,,,,,,-0.413527355,,,-0.647599117,,,3,1
2-4-01,709.04,0,3.988,99.4007,37.4215,0.376471192,0.46776875,0.0136,0.0075,0.011,0.52,9.29,0.44,2.76,W,0.39,W,167,,684,,,,-0.266464021,,0.234848142,,,,5,2
2-4-02,718.06,16.98,4.013,88.9393,39.3892,0.442877333,0.492365,0,0,0,,0.06,0.45,2.19,W,,,67,,642,25,,,0.068882292,,0.180792076,0.134765358,,,5,2
2-4-03,724.75,33.33,,96.1955,37.7763,0.392703401,0.47220375,0,,0,,3.66,0.14,2.25,W,0.51,W,138,,592,25,,,0.494825813,,0.116091533,0.382152422,,,5,2
2-5-01,849.64,0,4.224,96.1817,37.1831,0.386592252,0.46478875,0,0,0,0.21,0.18,0.05,5.34,W,,,25,,642,,,,0.178502687,,0.121552638,,,,6,2
2-5-02,862.67,17.65,4.03,97.7164,45.556,0.466206287,0.56945,0,0,0,,,,0.85,W,,,150,,442,,,,0.19059234,,0.08268432,,,,6,2
2-5-03,879.74,41.46,3.89,82.4224,48.5207,0.588683416,0.60650875,0.0236,0.0096,0.0076,,,0.33,2.16,W,,,350,,492,,,,0.161891533,,0.103805786,,,,6,2
2-6-01,911.34,0,3.645,76.2177,42.3649,0.555840704,0.52956125,0.0423,0.0148,0.0179,,2.18,0.85,10.41,W,,,867,,192,,,,-0.146215066,,0.141900699,,,,6,4
2-6-02,907.63,6.77,3.797,79.7343,44.9947,0.564307958,0.56243375,0.1286,0.0206,0.0188,,2.23,0.69,7.73,W,0.52,W,234,,559,,,,-0.33171048,,0.116481762,,,,6,4
2-6-03,918.4,7.13,3.978,92.6733,42.6403,0.460114186,0.53300375,0,0,0,,,1.11,2.33,W,,,259,,692,,,,0.203242903,,0.152492173,,,,6,4
